Varietés;Taux_levee;Date_floraison;Poids_total_gousses;Nombre_graine_gousses;Poids_total_graine;Poids_100graines
Achishiru;84.11;47;59.5;13.1875;38.17;8.29
AlokaLocal;19.85;46;37.9;9.8943;27.74;14.18
IT07K-292-10;42.29;45;52.9;7.1783;32.26;16
IT07K-318-33;69.43;44;286.2;10.4122;103.21;18.19
IT08K-150-12;62.93;48;144.9;8.1662;53.72;17.94
IT13K-1084-6;39.58;44;64.1;10.2281;47.2;18.58
IT14K-2034-2;48.3;44;91.8;11.2854;60.8;18.01
IT16K-2022-5;38.86;46;61;9.0231;45.77;19.56
IT16K-2145-2;22.19;47;34.1;7.5451;25.89;19.09
IT16K-2367-7;17.37;38;42.7;9.6376;41.08;13.97
IT17K-1015-1-1;82.4;40;186.4;9.1893;118.02;19.95
IT17K-1037-6-1;4.51;47;37.2;-0.4239;10.99;13.64
IT17K-1165-5-3;37.31;45;46.8;9.2778;32.07;15.72
IT17K-1180-6-1;46.69;47;71.7;8.8425;35.95;15.06
IT17K-1209-1-1;52.16;39;94.4;7.2859;53.29;21.41
IT17K-1234-1-1;42.15;50;53.3;10.705;26.87;14.25
IT17K-1399-4-2;54.79;46;53.6;10.2583;35.36;17.32
IT17K-1403-1-2;46.42;45;67.6;10.4516;47.16;14.37
IT17K-1410-1-1;60.47;44;69;9.6264;41.87;16.37
IT17K-1517-4-1;36.95;46;70.3;10.4918;33.08;17.19
IT17K-1557-2-2;17.87;46;58.8;6.1014;11.75;19
IT17K-1577-3-1;57.83;44;67.8;8.0973;41.72;15.29
IT17K-1580-4-1;44.04;40;75;9.0876;41.31;18.02
IT17K-1581-2-1;70.2;39;112.5;8.4686;62.37;17.88
IT17K-1593-2-1;45.63;50;58.3;8.8236;37.75;21.29
IT17K-1827-2;59.85;46;80.3;8.9507;47.52;14.61
IT17K-1828-1;51.18;46;74.1;10.4752;51.83;18.32
IT17K-1960-4-1;70.04;41;146.6;10.8968;98.52;13.28
IT17K-2052-1-1;7.8;48;13;7.3179;10.53;12.97
IT17K-2856-1;18.81;;36.1;10.305;27.79;17.87
IT17K-850-1-1;51.44;51;83;10.0962;54.48;23.72
IT17K-929-1-1;73.42;53;50.2;11.7993;35.36;13.04
IT18K-283-3;31.37;59;24.4;-0.0788;15.24;16.25
IT18K-564-2;21.77;61;31.5;8.5991;14.72;11.46
IT18K-565-1;58.13;47;22.9;8.4583;15.02;10.62
IT18K-647;31.69;44;12.2;5.1723;14.18;9.71
IT18K-648-1;46.93;57;49.4;12.2758;31.24;11.11
IT18K-670-2;47.87;40;184.1;9.4347;83.58;15.36
IT18K-703-1;18.36;49;129;10.5141;73.25;14.71
IT18K-707-2;84.11;45;113.6;11.8994;70.66;13.3
ITT07K-297-13;62.18;43;86.6;8.5665;59.4;17.89
MAGIC106;42.31;45;71.5;12.1789;54.07;12.89
MAGIC203;61.93;45;38.1;9.2323;58.66;14.32
StrigaMABC-23;33.17;53;22.4;8.249;-3.41;11.44
StrigaMABC-24;26.37;62;42;9.0729;8.14;11.06
StrigaMABC-30;27.14;50;39.4;9.0264;22.21;14.83
